coverage_id,snapshot_id,platform,source_file,source_row_ordinal,source_row_sha256,source_schema_version,source_surface,source_object_family,external_key,structured_path,source_context_key,parent_coverage_id,semantic_atom_key,concept_key,disposition,owner_candidate,representation_candidate,entity_level,value_shape,read_semantics,write_semantics,applicability_key,alias_of_coverage_id,evidence_reference,decision_reference,review_status,review_note
7cb0f27c99c9dc85d8750a2e19a974d715dcc88dd9f849d009d64d4875373f69,google-merchant-v1-ad575f7aaa799d99,google_merchant,docs/data/google_merchant_products_v1_attribute_inventory.csv,1,6f26c57376790b189cfdf4591e615f9e6f266ce1c1dc617ff22731822a6f1cf0,"Merchant Products v1","Merchant API products_v1 ProductAttributes",ProductAttributes,additionalImageLinks,not_applicable,layer=processed_product_output;input_binding=ProductInput.productAttributes;write_condition=Product_Data_Specification;classification=media_domain;vertical=not_applicable,not_applicable,google_merchant:atom:attribute:additionalimagelinks,google_merchant:attribute:additionalimagelinks,DOMAIN_CAPABILITY,Media,publication_media_binding,ProcessedProductAttribute,list,processed_publication_output,conditional_write_by_data_spec,not_applicable,not_applicable,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1#products_v1,not_applicable,PROVIDER_VERIFIED,"Google-local publication semantic; no cross-platform equivalence asserted."
cb2fb839837a0461da33cf13a0940f44836aadae13f0787e96efc963bd492a49,google-merchant-v1-ad575f7aaa799d99,google_merchant,docs/data/google_merchant_products_v1_attribute_inventory.csv,2,66fd9e951753f5803fb4876ef9c1dbf02cfb864f1d2b6b04ab1d997d2ce47bc6,"Merchant Products v1","Merchant API products_v1 ProductAttributes",ProductAttributes,adsGrouping,not_applicable,layer=processed_product_output;input_binding=ProductInput.productAttributes;write_condition=Product_Data_Specification;classification=channel_context;vertical=not_applicable,not_applicable,google_merchant:atom:attribute:adsgrouping,google_merchant:attribute:adsgrouping,CHANNEL_SEMANTIC,Connector,publication_channel_control,ProcessedProductAttribute,string,processed_publication_output,conditional_write_by_data_spec,not_applicable,not_applicable,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1#products_v1,not_applicable,PROVIDER_VERIFIED,"Google-local publication semantic; no cross-platform equivalence asserted."
dda94bc90a5905a1c5eb51af195e593ef8d064897b0466b1bd743db2fe6de422,google-merchant-v1-ad575f7aaa799d99,google_merchant,docs/data/google_merchant_products_v1_attribute_inventory.csv,3,d7adc8dba6249846b352831730a122863d919bcc13e62a58460711115833df6e,"Merchant Products v1","Merchant API products_v1 ProductAttributes",ProductAttributes,adsLabels,not_applicable,layer=processed_product_output;input_binding=ProductInput.productAttributes;write_condition=Product_Data_Specification;classification=channel_context;vertical=not_applicable,not_applicable,google_merchant:atom:attribute:adslabels,google_merchant:attribute:adslabels,CHANNEL_SEMANTIC,Connector,publication_channel_control,ProcessedProductAttribute,list,processed_publication_output,conditional_write_by_data_spec,not_applicable,not_applicable,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1#products_v1,not_applicable,PROVIDER_VERIFIED,"Google-local publication semantic; no cross-platform equivalence asserted."
fcb59a9261efe86a5063d8ba95910b3c6b20a230157bcc05454cc1a5a3d0b32e,google-merchant-v1-ad575f7aaa799d99,google_merchant,docs/data/google_merchant_products_v1_attribute_inventory.csv,4,6818ca42a240815b680a100e5c0ec56975a8e5a4fe935165009fbf0a762af255,"Merchant Products v1","Merchant API products_v1 ProductAttributes",ProductAttributes,adsRedirect,not_applicable,layer=processed_product_output;input_binding=ProductInput.productAttributes;write_condition=Product_Data_Specification;classification=channel_context;vertical=not_applicable,not_applicable,google_merchant:atom:attribute:adsredirect,google_merchant:attribute:adsredirect,CHANNEL_SEMANTIC,Connector,publication_channel_control,ProcessedProductAttribute,string,processed_publication_output,conditional_write_by_data_spec,not_applicable,not_applicable,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1#products_v1,not_applicable,PROVIDER_VERIFIED,"Google-local publication semantic; no cross-platform equivalence asserted."
3b45ef4d654d992e2553761a892cce9a5773b4bd52cd2dbf253ee45091d3c1c3,google-merchant-v1-ad575f7aaa799d99,google_merchant,docs/data/google_merchant_products_v1_attribute_inventory.csv,5,521ba84c20d3d376832375a9187105dfae1e1d9674c73f9c188c1752c99b5668,"Merchant Products v1","Merchant API products_v1 ProductAttributes",ProductAttributes,adult,not_applicable,layer=processed_product_output;input_binding=ProductInput.productAttributes;write_condition=Product_Data_Specification;classification=semantic_product_field;vertical=not_applicable,not_applicable,google_merchant:atom:attribute:adult,google_merchant:attribute:adult,DOMAIN_CAPABILITY,Compliance,publication_compliance_evidence,ProcessedProductAttribute,boolean,processed_publication_output,conditional_write_by_data_spec,not_applicable,not_applicable,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1#products_v1,queue:google_compliance,DEFERRED_REVIEW,"Google-local publication semantic; no cross-platform equivalence asserted."
608033cda8e7fcd9e33f7a7743d245048a189bb8048371447dda12cc48232037,google-merchant-v1-ad575f7aaa799d99,google_merchant,docs/data/google_merchant_products_v1_attribute_inventory.csv,6,f8a5df53002a8b2fd950c2997eda462c71148356d5185444c3e242d465b0ca07,"Merchant Products v1","Merchant API products_v1 ProductAttributes",ProductAttributes,ageGroup,not_applicable,layer=processed_product_output;input_binding=ProductInput.productAttributes;write_condition=Product_Data_Specification;classification=semantic_product_field;vertical=not_applicable,not_applicable,google_merchant:atom:attribute:agegroup,google_merchant:attribute:agegroup,REUSABLE_SEMANTIC,ProductData,processed_output_with_conditional_input_binding,ProcessedProductAttribute,string,processed_publication_output,conditional_write_by_data_spec,not_applicable,not_applicable,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1#products_v1,not_applicable,PROVIDER_VERIFIED,"Google-local publication semantic; no cross-platform equivalence asserted."
5b799ebff45584b6772fe7f791b9956c64dafa403a47ea40e0cd828e6f813d58,google-merchant-v1-ad575f7aaa799d99,google_merchant,docs/data/google_merchant_products_v1_attribute_inventory.csv,7,f098b8c80894c48220f87ce6973f4821b12f30c53b7b54e383ac13f213ea5a8e,"Merchant Products v1","Merchant API products_v1 ProductAttributes",ProductAttributes,amenityFeature,not_applicable,layer=processed_product_output;input_binding=ProductInput.productAttributes;write_condition=Product_Data_Specification;classification=specialized_vertical_field:property;vertical=property,not_applicable,google_merchant:atom:attribute:amenityfeature,google_merchant:attribute:amenityfeature,CATEGORY_ATTRIBUTE,PropertyVertical,vertical_scoped_publication_attribute,ProcessedProductAttribute,list,processed_publication_output,conditional_write_by_data_spec,not_applicable,not_applicable,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1#products_v1,queue:google_vertical_applicability,DEFERRED_REVIEW,"Google-local publication semantic; no cross-platform equivalence asserted."
a8fc8cf6ecfe474fc6057b9a9062d47b49ae0e0bc87a4386adc1a4cc9fdd6139,google-merchant-v1-ad575f7aaa799d99,google_merchant,docs/data/google_merchant_products_v1_attribute_inventory.csv,8,c9e641949b963e9e083e8af3b75be17bc620158d0b6e501bfc83ce98f6edde8f,"Merchant Products v1","Merchant API products_v1 ProductAttributes",ProductAttributes,autoPricingMinPrice,not_applicable,layer=processed_product_output;input_binding=ProductInput.productAttributes;write_condition=Product_Data_Specification;classification=pricing_or_commercial_domain;vertical=not_applicable,not_applicable,google_merchant:atom:attribute:autopricingminprice,google_merchant:attribute:autopricingminprice,DOMAIN_CAPABILITY,Pricing,publication_commercial_binding,ProcessedProductAttribute,structured,processed_publication_output,conditional_write_by_data_spec,not_applicable,not_applicable,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1#products_v1,not_applicable,PROVIDER_VERIFIED,"Google-local publication semantic; no cross-platform equivalence asserted."
d47a0926372595d4819c30f3faef661613b2672e23b2aacaf7c050bf8ca87cd5,google-merchant-v1-ad575f7aaa799d99,google_merchant,docs/data/google_merchant_products_v1_attribute_inventory.csv,9,88ecbdcf6c1d0e41a9a6f6027a31063aa662af217a1a96a2c62bd96522a57a58,"Merchant Products v1","Merchant API products_v1 ProductAttributes",ProductAttributes,availability,not_applicable,layer=processed_product_output;input_binding=ProductInput.productAttributes;write_condition=Product_Data_Specification;classification=semantic_product_field;vertical=not_applicable,not_applicable,google_merchant:atom:attribute:availability,google_merchant:attribute:availability,DOMAIN_CAPABILITY,Availability,publication_availability_binding,ProcessedProductAttribute,string,processed_publication_output,conditional_write_by_data_spec,not_applicable,not_applicable,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1#products_v1,queue:google_availability,DEFERRED_REVIEW,"Google-local publication semantic; no cross-platform equivalence asserted."
c63f5363d3dc2d0e3976150aef26cb5f2379efc39e0002f10bdc8c726d7b4f58,google-merchant-v1-ad575f7aaa799d99,google_merchant,docs/data/google_merchant_products_v1_attribute_inventory.csv,10,126d3fc912444ea415eb516a2e8325c08266c516956f526f278ecaaff54c720b,"Merchant Products v1","Merchant API products_v1 ProductAttributes",ProductAttributes,availabilityDate,not_applicable,layer=processed_product_output;input_binding=ProductInput.productAttributes;write_condition=Product_Data_Specification;classification=semantic_product_field;vertical=not_applicable,not_applicable,google_merchant:atom:attribute:availabilitydate,google_merchant:attribute:availabilitydate,DOMAIN_CAPABILITY,Availability,publication_availability_binding,ProcessedProductAttribute,string,processed_publication_output,conditional_write_by_data_spec,not_applicable,not_applicable,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1#products_v1,queue:google_preorder_date,DEFERRED_REVIEW,"Google-local publication semantic; no cross-platform equivalence asserted."
2813b3105f262c4531aef0ab957363417b8fddd73857c9317604fbe50a2cba7e,google-merchant-v1-ad575f7aaa799d99,google_merchant,docs/data/google_merchant_products_v1_attribute_inventory.csv,11,9910303f4bc1d4858f20a525f7e8c4db62316d230822bab106c771346aa40f95,"Merchant Products v1","Merchant API products_v1 ProductAttributes",ProductAttributes,bodyStyle,not_applicable,layer=processed_product_output;input_binding=ProductInput.productAttributes;write_condition=Product_Data_Specification;classification=specialized_vertical_field:vehicle;vertical=vehicle,not_applicable,google_merchant:atom:attribute:bodystyle,google_merchant:attribute:bodystyle,CATEGORY_ATTRIBUTE,VehicleVertical,vertical_scoped_publication_attribute,ProcessedProductAttribute,string,processed_publication_output,conditional_write_by_data_spec,not_applicable,not_applicable,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1#products_v1,queue:google_vertical_applicability,DEFERRED_REVIEW,"Google-local publication semantic; no cross-platform equivalence asserted."
