coverage_id,snapshot_id,platform,source_file,source_row_ordinal,source_row_sha256,source_schema_version,source_surface,source_object_family,external_key,structured_path,source_context_key,parent_coverage_id,semantic_atom_key,concept_key,disposition,owner_candidate,representation_candidate,entity_level,value_shape,read_semantics,write_semantics,applicability_key,alias_of_coverage_id,evidence_reference,decision_reference,review_status,review_note
ab443bc7e0123c05d0cf8ee4450571261a14ac13fcb753077f4ceff0137ef467,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,1,5118d68e9835b1026df1c6978ff98e041a87dcdca5d51f1e51a96b835ec701db,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeDefinition,metaSchema,not_applicable,model=ProductTypeDefinition;verified_at=2026-09-07,not_applicable,amazon:atom:producttypedefinition:metaschema,amazon:ptd_meta:producttypedefinition:metaschema,APPLICABILITY_METADATA,ProviderSchemaDiscovery,product_type_schema_applicability,ProviderSchemaDiscovery,structured,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
681b1c0e92b4877df1c6b0147795248ee907ada875192bb00a0b5fbe60ec9086,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,2,4da6c27be44b23c3489d56cb7007079ef06a6626c91dc98416cb58395ae96df0,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeDefinition,schema,not_applicable,model=ProductTypeDefinition;verified_at=2026-09-07,not_applicable,amazon:atom:producttypedefinition:schema,amazon:ptd_meta:producttypedefinition:schema,APPLICABILITY_METADATA,ProviderSchemaDiscovery,product_type_schema_applicability,ProviderSchemaDiscovery,structured,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
adcbb4ec9cf772515ba53733d279cd5f4ebd49f2649776f1a44ca65647a4c1a3,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,3,ef3aa0aa8812fad4e64654b175842b686c8ccc1025f66c3cd9006833cbbf56bd,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeDefinition,requirements,not_applicable,model=ProductTypeDefinition;verified_at=2026-09-07,not_applicable,amazon:atom:producttypedefinition:requirements,amazon:ptd_meta:producttypedefinition:requirements,APPLICABILITY_METADATA,ProviderSchemaDiscovery,requirements_set_applicability,ProviderSchemaDiscovery,string,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
d683d2bdd42ccf9f9ca98f2b857fcbdf2720c2d567f4b56fff1f4c1d03bf54fa,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,4,797b53809c52d695a8d09357b09ba3a96b2ba1552d77ef8c55cbf56e3ebdd36d,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeDefinition,requirementsEnforced,not_applicable,model=ProductTypeDefinition;verified_at=2026-09-07,not_applicable,amazon:atom:producttypedefinition:requirementsenforced,amazon:ptd_meta:producttypedefinition:requirementsenforced,APPLICABILITY_METADATA,ProviderSchemaDiscovery,requirements_set_applicability,ProviderSchemaDiscovery,string,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
c14707372962ca87f99d26aec7fa9f3c38405debabbcc976ef251647df8dd808,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,5,9f0b2fb6a15eeb521a0bd4ada4f57a2eee55f7eb7364e160e39a7a24265d7753,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeDefinition,propertyGroups,not_applicable,model=ProductTypeDefinition;verified_at=2026-09-07,not_applicable,amazon:atom:producttypedefinition:propertygroups,amazon:ptd_meta:producttypedefinition:propertygroups,APPLICABILITY_METADATA,ProviderSchemaDiscovery,schema_property_grouping,ProviderSchemaDiscovery,structured,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
c0ca36ea806ef7d308c89fdc1dc0b4d1fc094c5994896dc5974d078527f5b63d,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,6,17baaeb960a494c9ec87cb64147600ed86e39abe8136af325f0a455706bf58ee,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeDefinition,locale,not_applicable,model=ProductTypeDefinition;verified_at=2026-09-07,not_applicable,amazon:atom:producttypedefinition:locale,amazon:ptd_meta:producttypedefinition:locale,APPLICABILITY_METADATA,ProviderSchemaDiscovery,schema_display_localization_metadata,ProviderSchemaDiscovery,string,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
26d994d74020d913665b7a5d253cce27ec4a870c91aad0c2445a506ee6b656c4,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,7,adc91e2be3e021d9f65bcad6f1ba31d4c438d6d4892ee2ce5f175081716610ba,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeDefinition,marketplaceIds,not_applicable,model=ProductTypeDefinition;verified_at=2026-09-07,not_applicable,amazon:atom:producttypedefinition:marketplaceids,amazon:ptd_meta:producttypedefinition:marketplaceids,APPLICABILITY_METADATA,ProviderSchemaDiscovery,marketplace_applicability,ProviderSchemaDiscovery,list,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
75b909cd7266aaeee9dff71cd73856c19d3c734fcc4476fd1154b4e0aa8d5eb7,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,8,cf7c0dd71e38256a8380537d8553f22b4f10173b7e0fe348a1486add2bcc6904,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeDefinition,productType,not_applicable,model=ProductTypeDefinition;verified_at=2026-09-07,not_applicable,amazon:atom:producttypedefinition:producttype,amazon:ptd_meta:producttypedefinition:producttype,APPLICABILITY_METADATA,ProviderSchemaDiscovery,product_type_schema_applicability,ProviderSchemaDiscovery,string,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
fd4540975e8b21a9e70c3477ce6eb790d3f29d1c7753b4b8a80a017bc750434f,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,9,e718596435d42c22526ab12159aefe70832c7cd73229e62daf5f7b2ce75da7b7,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeDefinition,displayName,not_applicable,model=ProductTypeDefinition;verified_at=2026-09-07,not_applicable,amazon:atom:producttypedefinition:displayname,amazon:ptd_meta:producttypedefinition:displayname,APPLICABILITY_METADATA,ProviderSchemaDiscovery,schema_display_localization_metadata,ProviderSchemaDiscovery,string,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
335715fb412734e7fc74581792c62a6050aa13e35b870227734237b9c2e05982,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,10,a06aee5ed34e71d1ad20634d3669dd960177b8841f03781c764294bbe21b0734,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeDefinition,productTypeVersion,not_applicable,model=ProductTypeDefinition;verified_at=2026-09-07,not_applicable,amazon:atom:producttypedefinition:producttypeversion,amazon:ptd_meta:producttypedefinition:producttypeversion,APPLICABILITY_METADATA,ProviderSchemaDiscovery,schema_version_metadata,ProviderSchemaDiscovery,structured,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
a801e423db439831e04975722488d93de6c6939cb637fd5af0830881a27709c7,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,11,259292930ceeccfa648030d6c2ccd360d25bb6808ca770518b45736db4ac0951,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeVersion,version,not_applicable,model=ProductTypeVersion;verified_at=2026-09-07,not_applicable,amazon:atom:producttypeversion:version,amazon:ptd_meta:producttypeversion:version,APPLICABILITY_METADATA,ProviderSchemaDiscovery,schema_version_metadata,ProviderSchemaDiscovery,string,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
d11c8c82a0411a25fb98e1b943607c4b3b4a8cd72facfae053cf07257cf25003,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,12,527929c4166b4c89ce99d84ae5509c548eeb54f950aa7f9b23faf52ecd0d6287,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeVersion,latest,not_applicable,model=ProductTypeVersion;verified_at=2026-09-07,not_applicable,amazon:atom:producttypeversion:latest,amazon:ptd_meta:producttypeversion:latest,APPLICABILITY_METADATA,ProviderSchemaDiscovery,schema_version_metadata,ProviderSchemaDiscovery,boolean,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
f3f633e9091c6a7980745f7378f5220db1d9c5933dad2da06240fb677f264a50,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,13,18974b98ddd47a839318ac621384139355a443b9fd73f998bd651a9d888295f3,"Product Type Definitions 2020-09-01","Selling Partner API PTD",ProductTypeVersion,releaseCandidate,not_applicable,model=ProductTypeVersion;verified_at=2026-09-07,not_applicable,amazon:atom:producttypeversion:releasecandidate,amazon:ptd_meta:producttypeversion:releasecandidate,APPLICABILITY_METADATA,ProviderSchemaDiscovery,schema_version_metadata,ProviderSchemaDiscovery,boolean,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
662a769a38656004f9e77ee5e24962e3aaa915d1bc6c58bfd9382c84d105e4df,amazon-v1-00d0d7f2b2de0fe0,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,14,f0568675bfcdd46d618653e205cd20d87a29ebe77292df8962edf33e8e127ca4,"Product Type Definitions 2020-09-01","Selling Partner API PTD",SchemaLink,link,not_applicable,model=SchemaLink;verified_at=2026-09-07,not_applicable,amazon:atom:schemalink:link,amazon:ptd_meta:schemalink:link,TRANSPORT_MECHANIC,ProviderSchemaDiscovery,schema_retrieval_link,ProviderSchemaDiscovery,structured,schema_discovery_metadata,not_product_write_capability,not_applicable,not_applicable,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json,queue:amazon_ptd_applicability_versioning,DEFERRED_REVIEW,"Amazon provider-local schema evidence; no final cross-platform equivalence or runtime capability asserted."
