snapshot_id,repository_commit,platform,source_file,file_sha256,header_sha256,row_count,schema_version_basis,captured_at
adobe-v1-d6b477b8f1168a57,7c65d469b68e69aeb9de2ba38620bc59ec793ea6,adobe_commerce,docs/data/adobe_commerce_v1_alias_groups.csv,d6b477b8f1168a57d5e7fbd5af5f69b262fd90889c6b953b9e90334c1458088c,435b7b4b88c44bc4a622e0f0ce95afb041eefd7219cbb3eb4a4659413b5bed0a,98,"Adobe alias groups v1",2026-09-08
adobe-v1-8c6378fea6f331c9,7c65d469b68e69aeb9de2ba38620bc59ec793ea6,adobe_commerce,docs/data/adobe_commerce_v1_inventory_master.csv,8c6378fea6f331c971da84d4f8da05c4ab5954b5d5bde64f05420b82f2c681fb,20f241dabdf72922deabc2d9e388501e4b14a95069549c4519939b73edf3b580,186,"Adobe inventory master v1",2026-09-08
adobe-v1-925f07633b4f361b,7c65d469b68e69aeb9de2ba38620bc59ec793ea6,adobe_commerce,docs/data/adobe_commerce_v1_structured_object_fields.csv,925f07633b4f361b57498c0965c33b3b3df03300bc3553a74e01343c167f808e,e95887a70466f853438cee24f7c306649c3c032dfa330879963110af9ec2f6ab,189,"Adobe structured object fields v1",2026-09-08
amazon-v1-f3cfa6310484175d,5be3ec03ec915e6831ad86777d5284aa083be206,amazon,docs/data/amazon_listings_v1_public_ptd_luggage_inventory.csv,f3cfa6310484175d58df984a63acc75b02e1266481957c22a275e2d393dd9634,cee047f828ec388c0425d84daa7363e4930de4ae3dd3b6f964d793cca0eee42a,78,"Amazon Listings v1 public LUGGAGE PTD example",2026-09-07
amazon-v1-00d0d7f2b2de0fe0,5be3ec03ec915e6831ad86777d5284aa083be206,amazon,docs/data/amazon_product_type_definitions_meta_model_inventory.csv,00d0d7f2b2de0fe01b0980d96a1211da337458eb21515e40038f46582cdc0868,2ea791bbf2803abf22ade843d31d8c4f198c3d141ab45bf571d4a64260d38c42,23,"Amazon Product Type Definitions meta-model",2026-09-07
bigcommerce-v1-ecb1456bfdfebdc6,5be3ec03ec915e6831ad86777d5284aa083be206,bigcommerce,docs/data/bigcommerce_v3_product_capability_inventory.csv,ecb1456bfdfebdc6e46d07836a308ae99d1f5f8514dd85b0b4526dc9bef5491a,74e6578310f46027c033b9bf29662e96aa8c75047a9b899f24eb03abc811205d,136,"OpenAPI 3.1.0 inventory snapshot",2026-09-07
google-merchant-v1-ad575f7aaa799d99,5be3ec03ec915e6831ad86777d5284aa083be206,google_merchant,docs/data/google_merchant_products_v1_attribute_inventory.csv,ad575f7aaa799d99f8042741acaf2a8208cbc60c3535a9f81fa6dcbdaa327869,06dda0ec59b22a318b7cb4392a8756b147e7fb040450c5b564c0c86df461984d,145,"Google Merchant Products v1 ProductAttributes",2026-09-07
google-merchant-v1-36adda1ef65405e8,5be3ec03ec915e6831ad86777d5284aa083be206,google_merchant,docs/data/google_merchant_products_v1_product_input_inventory.csv,36adda1ef65405e822e4ad2c40c660a869a5eb4741de170b8827db14b437d004,9484ff2a6f3e9db39f2cf5d048c65999dfbe760162be77f74d1bdf81dfa0e3dc,11,"Google Merchant Products v1 ProductInput",2026-09-07
shopify-v1-ae75c718b5d6009f,5be3ec03ec915e6831ad86777d5284aa083be206,shopify,docs/data/shopify_v1_alias_groups.csv,ae75c718b5d6009f545993db666508f8eb9fd50d96464e2051cdc3528a9a9168,435b7b4b88c44bc4a622e0f0ce95afb041eefd7219cbb3eb4a4659413b5bed0a,106,"Shopify cross-surface alias and representation inventory",2026-09-07
shopify-v1-f9ce18a3908aa2a1,5be3ec03ec915e6831ad86777d5284aa083be206,shopify,docs/data/shopify_v1_freshness_event_matrix.csv,f9ce18a3908aa2a1353d5bf6934ac1dcd7654e40506daa977effbec0c539b473,ab45037ecd2d6c0eec412ad9632a736404fdf7edaf55d58e8adf3c8b3e156ba6,36,"Shopify webhook and Events freshness hints",2026-09-07
shopify-v1-7c9e31028b85d9ac,5be3ec03ec915e6831ad86777d5284aa083be206,shopify,docs/data/shopify_v1_inventory_master.csv,7c9e31028b85d9acbf03efb6cc1a028b679dcd4355120aec835ebece5a1b212e,a01355d59440ffcb03e4c561b8b292e737350e83d57f4867ad999d2c0bdafe0d,738,"Shopify Admin GraphQL 2026-07 provider inventory master",2026-09-07
shopify-v1-2d38a32dd4e7e598,5be3ec03ec915e6831ad86777d5284aa083be206,shopify,docs/data/shopify_v1_structured_object_fields.csv,2d38a32dd4e7e598a578b40aa88dc5abcf12c1d820a722b33f0823b73a60222b,49e787ec50f29df5536297f759c8dcbd6e3952c048f8a25cd6ee1b4d80f3b95f,926,"Shopify Admin GraphQL 2026-07 structured and input-object inventory",2026-09-07
shopify-v1-7bc94f0e2eb6db76,5be3ec03ec915e6831ad86777d5284aa083be206,shopify,docs/data/shopify_v1_taxonomy_attribute_inventory.csv,7bc94f0e2eb6db7661d4abd112960239b50ad4c4e02263efa6e3c7506062b308,c352ac28e05017264822b20df182bfb801bbf853d52b152e8f26594f73708226,8556,"Shopify ProductTaxonomy 1.2.0 pinned attribute definitions",2026-09-07
shopify-v1-d2babc18daa5959e,5be3ec03ec915e6831ad86777d5284aa083be206,shopify,docs/data/shopify_v1_version_change_matrix.csv,d2babc18daa5959e3c90712ffc4eb5543f1f589112ddab09656a8e73184288f0,5fecc5da2efa00e6706bde69283fa49b1ff3de7b263160749d5fa6bcbc94b6c9,14,"Shopify 2026-07 version and change boundaries",2026-09-07
